ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-mir-212-3p,MIMAT0000269,CCL5,6352,Microarrays,tarbase,Peripheral blood
hsa-mir-212-3p,MIMAT0000269,CCL5,6352,Microarrays,tarbase,Peripheral blood
hsa-mir-17,MIMAT0000070,CDKN1A,1026,phenotypic analysis of target gene,20299512,Peripheral blood
hsa-mir-21,MIMAT0000076,CDKN1A,1026,other,17991735,Peripheral blood
hsa-mir-93,MIMAT0000093,CDKN1A,1026,Western blot,19422085,Peripheral blood
hsa-mir-93,MIMAT0000093,CDKN1A,1026,Western blot,18328430,Peripheral blood
hsa-mir-181a,MIMAT0000256,CDKN1B,1027,Western blot,19273599,Peripheral blood
hsa-mir-146a,MIMAT0000449,PA2G4,5036,other,19944095,Peripheral blood
hsa-mir-106b,MIMAT0000680,CDKN1A,1026,Western blot,19422085,Peripheral blood
hsa-mir-106b,MIMAT0000680,CDKN1A,1026,Western blot,18328430,Peripheral blood
hsa-mir-106b,MIMAT0000680,CDKN1A,1026,Western blot,18212054,Peripheral blood
hsa-mir-296-5p,MIMAT0000690,CDKN1B,1027,Western blot,20485139,Peripheral blood
