"","GSM650876.CEL.gz","GSM650877.CEL.gz","GSM650878.CEL.gz","GSM650879.CEL.gz","GSM650880.CEL.gz","GSM650883.CEL.gz","GSM650885.CEL.gz","GSM650923.CEL.gz","GSM650924.CEL.gz","GSM650930.CEL.gz","GSM650931.CEL.gz","GSM650944.CEL.gz","GSM650946.CEL.gz","GSM650950.CEL.gz","GSM650951.CEL.gz","GSM650954.CEL.gz","GSM650959.CEL.gz","GSM650968.CEL.gz","GSM650969.CEL.gz","GSM650970.CEL.gz","GSM650975.CEL.gz"
"THRAP3",9.360026,9.737527,9.735296,9.328752,9.630733,9.915962,9.263964,9.03332,9.798438,8.64066,8.695524,8.995165,8.616994,8.700183,8.908018,8.825195,8.803185,8.720569,8.905345,8.787113,8.846549
"RPS27",9.036186,7.978983,6.819926,8.056188,7.454465,8.772842,6.95227,7.020076,6.194321,7.073652,5.905501,5.96174,8.071792,9.281637,6.760957,8.047013,7.236628,7.032374,7.711625,7.856968,7.200217
"UTP11",7.172666,7.739259,7.275215,7.25115,7.799513,7.866549,7.311254,6.994436,7.488176,7.017963,6.670871,6.807019,7.60547,7.516451,7.188638,7.518379,6.94193,6.91492,7.37229,7.061415,7.314872
"AKIRIN1",10.474724,10.405283,10.486682,10.38625,10.52972,10.250326,10.279256,10.378814,10.357629,9.554914,9.672898,9.407742,9.790743,9.665928,9.639009,9.821193,9.472593,9.446078,9.633838,9.893931,9.787762
"NDUFS5",8.315171,8.247212,7.935158,8.553601,8.202038,8.640087,7.417832,7.941234,7.796933,8.98953,8.776348,8.858742,9.448795,10.168716,9.20307,9.2676,8.73036,8.987585,9.08504,9.069629,8.433126
"MIR30E",6.76656,7.121343,6.760156,6.155825,7.077124,6.932188,7.055141,6.760139,7.138483,7.565854,7.700691,7.844462,7.8244,7.950108,7.782921,8.032753,7.382905,7.672963,7.867258,7.976262,7.84606
"PPCS",8.682704,8.546636,8.351239,8.14732,8.626813,8.352958,8.451072,8.109883,8.554401,7.452231,7.441573,7.489191,8.130756,8.099152,7.768667,8.017451,7.62738,7.7059,7.64785,7.831878,7.54872
"PPIH",8.266594,8.269146,7.934588,8.292833,7.93275,7.880735,7.81456,7.733634,7.979917,7.566646,7.283525,7.398074,7.671674,7.791624,7.588734,7.787689,7.61229,7.460017,7.788211,7.548525,7.593093
"RNF220",7.845472,7.925917,8.04764,7.962689,7.707304,7.800849,7.876861,8.053277,7.839545,8.414582,8.453415,8.771,8.688888,8.895584,8.522135,8.637467,8.579347,8.47584,8.522491,8.66641,8.429502
"RPS8",10.196732,9.710823,9.752073,10.496237,9.787911,9.98611,9.87104,9.79004,9.072652,9.528185,9.072566,8.907115,9.979833,10.928416,9.382945,9.825165,9.439307,9.903951,9.627266,9.838388,9.084732
"SNORD55",8.274457,8.265526,7.704142,8.044806,7.406823,7.508053,8.255771,7.636493,7.043244,7.84427,7.385618,7.716599,8.048274,8.67431,7.802311,7.739791,7.615528,7.978647,7.718022,7.973703,7.585352
"SNORD46",10.178806,9.531756,9.800076,10.041028,9.586531,9.534895,10.039795,10.336672,9.342275,9.212398,9.026977,8.884721,9.221348,10.251388,9.487161,9.277679,9.343027,9.574739,9.04049,9.127903,8.913761
"SNORD38B",6.072695,6.773879,6.228165,6.645553,6.389459,6.600276,5.871995,4.62398,5.864599,5.467328,5.374069,5.59244,6.170904,6.195361,6.043888,6.171172,5.779878,5.554416,6.293203,6.198361,6.287971
"TOE1",7.413242,7.676293,7.541854,7.53026,7.350116,7.06611,7.415871,7.415291,7.079414,8.128544,7.907246,8.235369,8.215993,8.027134,8.052664,8.272065,7.95507,8.001513,8.254529,8.246131,8.14637
